slug,name_vi,name_en,category_slug,prep_state,source_ref,kcal_100g,protein_100g,carbs_100g,fat_100g,is_common,default_for_ai,is_staple_ai,internal_issues,severity,ext_source,matched_description,ref_kcal,ref_protein,delta_kcal_pct,ext_severity,ext_error
cu-cai-trang,Củ cải trắng,Daikon radish,trai-cay-rau-cu,raw,usda-vn-table,18,0.6,4.1,0.1,True,True,False,,OK,,,,,,,
cu-den,Củ dền,Beetroot,trai-cay-rau-cu,raw,usda-vn-table,43,1.6,9.6,0.2,False,False,False,,OK,,,,,,,
cu-nang,Củ năng,Water chestnut,trai-cay-rau-cu,raw,usda-vn-table,97,1.4,23.9,0.1,False,False,False,,OK,,,,,,,
cua-bien-thit,Cua biển thịt,Crab meat,thit-hai-san,raw,usda-vn-table,97,19.0,0,1.5,True,True,False,,OK,,,,,,,
dau-tay,Dâu tây,Strawberry,trai-cay-rau-cu,raw,usda-vn-table,32,0.7,7.7,0.3,False,False,False,,OK,,,,,,,
du-du,Đu đủ chín,Papaya,trai-cay-rau-cu,raw,usda-vn-table,43,0.5,10.8,0.3,True,True,False,,OK,,,,,,,
dua-com-tuoi,Dừa cơm tươi,Coconut meat,trai-cay-rau-cu,raw,usda-vn-table,354,3.3,15.2,33.5,False,False,False,,OK,,,,,,,
dua-hau,Dưa hấu,Watermelon,trai-cay-rau-cu,raw,usda-vn-table,30,0.6,7.6,0.2,True,True,False,,OK,,,,,,,
dua-luoi,Dưa lưới,Cantaloupe,trai-cay-rau-cu,raw,usda-vn-table,34,0.8,8.2,0.2,True,True,False,,OK,,,,,,,
dua-thom,Dứa / thơm,Pineapple,trai-cay-rau-cu,raw,usda-vn-table,50,0.5,13.1,0.1,True,True,False,,OK,,,,,,,
ga-xay-nac-song,Gà xay nạc (sống),Ground chicken lean raw,thit-hai-san,raw,usda-vn-table,143,17.4,0,8.1,True,True,False,,OK,,,,,,,
ghe-thit,Ghẹ thịt,Blue swimming crab,thit-hai-san,raw,vdd-vn,87,18.0,0.5,1.0,True,True,False,,OK,,,,,,,
gia-do,Giá đỗ,Bean sprouts,trai-cay-rau-cu,raw,usda-vn-table,30,3.0,5.9,0.2,True,True,False,,OK,,,,,,,
hanh-la,Hành lá,Green onion,trai-cay-rau-cu,raw,usda-vn-table,32,1.8,7.3,0.2,True,True,False,,OK,,,,,,,
hanh-tay,Hành tây,Onion,trai-cay-rau-cu,raw,usda-vn-table,40,1.1,9.3,0.1,True,True,False,,OK,,,,,,,
hau,Hàu,Oyster,thit-hai-san,raw,usda-vn-table,81,9.5,4.9,2.3,False,False,False,,OK,,,,,,,
he,Hẹ,Chinese chives,trai-cay-rau-cu,raw,usda-vn-table,30,2.7,4.5,0.5,False,False,False,,OK,,,,,,,
hong-xiem,Hồng xiêm,Sapodilla,trai-cay-rau-cu,raw,usda-vn-table,83,0.4,20.0,1.1,False,False,False,,OK,,,,,,,
hung-que,Húng quế,Thai basil,trai-cay-rau-cu,raw,usda-vn-table,23,3.2,2.7,0.6,False,False,False,,OK,,,,,,,
khe,Khế,Star fruit,trai-cay-rau-cu,raw,usda-vn-table,31,1.0,6.7,0.3,False,False,False,,OK,,,,,,,
kho-qua-muop-dang,Khổ qua (mướp đắng),Bitter melon,trai-cay-rau-cu,raw,usda-vn-table,17,1.0,3.7,0.2,True,True,False,,OK,,,,,,,
kiwi,Kiwi,Kiwi,trai-cay-rau-cu,raw,usda-vn-table,61,1.1,14.7,0.5,False,False,False,,OK,,,,,,,
le,Lê,Pear,trai-cay-rau-cu,raw,usda-vn-table,57,0.4,15.2,0.1,True,True,False,,OK,,,,,,,
luu,Lựu,Pomegranate,trai-cay-rau-cu,raw,usda-vn-table,83,1.7,18.7,1.2,False,False,False,,OK,,,,,,,
mam-xoi,Mâm xôi,Raspberry,trai-cay-rau-cu,raw,usda-vn-table,52,1.2,11.9,0.7,False,False,False,,OK,,,,,,,
mang-cau-xiem,Mãng cầu xiêm,Soursop,trai-cay-rau-cu,raw,usda-vn-table,66,1.0,16.8,0.3,False,False,False,,OK,,,,,,,
mang-cut,Măng cụt,Mangosteen,trai-cay-rau-cu,raw,usda-vn-table,73,0.4,18.0,0.6,True,True,False,,OK,,,,,,,
mang-tuoi,Măng tươi,Bamboo shoot,trai-cay-rau-cu,raw,usda-vn-table,27,2.6,5.2,0.3,False,False,False,,OK,,,,,,,
me-chin,Me chín,Ripe tamarind,trai-cay-rau-cu,raw,usda-vn-table,239,2.8,62.5,0.6,False,False,False,,OK,,,,,,,
mit,Mít,Jackfruit,trai-cay-rau-cu,raw,usda-vn-table,95,1.7,23.3,0.6,False,False,False,,OK,,,,,,,
moc-nhi-ngam-nuoc,Mộc nhĩ (ngâm nước),Wood ear rehydrated,trai-cay-rau-cu,raw,usda-vn-table,25,0.5,6.8,0.04,True,True,False,,OK,,,,,,,
mong-toi,Mồng tơi,Malabar spinach,trai-cay-rau-cu,raw,usda-vn-table,19,2.0,3.1,0.3,True,True,False,,OK,,,,,,,
muc-ong-song,Mực ống (sống),Squid raw,thit-hai-san,raw,usda-vn-table,92,15.6,3.1,1.4,True,True,False,,OK,,,,,,,
na-mang-cau-ta,Na (mãng cầu ta),Sugar apple,trai-cay-rau-cu,raw,usda-vn-table,94,2.1,23.6,0.3,True,True,False,,OK,,,,,,,
nam-bao-ngu,Nấm bào ngư,Oyster mushroom,trai-cay-rau-cu,raw,usda-vn-table,33,3.3,6.1,0.4,True,True,False,,OK,,,,,,,
nam-dong-co,Nấm đông cô,Shiitake,trai-cay-rau-cu,raw,usda-vn-table,34,2.2,6.8,0.5,True,True,False,,OK,,,,,,,
nam-kim-cham,Nấm kim châm,Enoki mushroom,trai-cay-rau-cu,raw,usda-vn-table,37,2.7,7.8,0.3,True,True,False,,OK,,,,,,,
nam-mo,Nấm mỡ,White mushroom,trai-cay-rau-cu,raw,usda-vn-table,22,3.1,3.3,0.3,True,True,False,,OK,,,,,,,
nam-rom,Nấm rơm,Straw mushroom,trai-cay-rau-cu,raw,usda-vn-table,22,2.1,3.3,0.3,True,True,False,,OK,,,,,,,
nam-tuyet-ngam-nuoc,Nấm tuyết (ngâm nước),Snow fungus rehydrated,trai-cay-rau-cu,raw,usda-vn-table,27,0.6,6.5,0.1,False,False,False,,OK,,,,,,,
ngao-ngheu,Ngao / nghêu,Clam,thit-hai-san,raw,usda-vn-table,86,15.0,3.6,1.0,True,True,False,,OK,,,,,,,
ngo-ri,Ngò rí,Cilantro,trai-cay-rau-cu,raw,usda-vn-table,23,2.1,3.7,0.5,False,False,False,,OK,,,,,,,
ngo-sen,Ngó sen,Lotus root,trai-cay-rau-cu,raw,usda-vn-table,74,2.6,17.2,0.1,False,False,False,,OK,,,,,,,
nhan,Nhãn,Longan,trai-cay-rau-cu,raw,usda-vn-table,60,1.3,15.1,0.1,True,True,False,,OK,,,,,,,
nho,Nho,Grapes,trai-cay-rau-cu,raw,usda-vn-table,69,0.7,18.1,0.2,True,True,False,,OK,,,,,,,
oc-huong,Ốc hương,Spotted babylon,thit-hai-san,raw,usda-vn-table,90,16.0,2.0,1.5,False,False,False,,OK,,,,,,,
oi,Ổi,Guava,trai-cay-rau-cu,raw,usda-vn-table,68,2.6,14.3,1.0,True,True,False,,OK,,,,,,,
ot-chuong-do,Ớt chuông đỏ,Red bell pepper,trai-cay-rau-cu,raw,usda-vn-table,31,1.0,6.0,0.3,True,True,False,,OK,,,,,,,
quat-tac,Quất (tắc),Kumquat,trai-cay-rau-cu,raw,usda-vn-table,71,1.9,15.9,0.9,False,False,False,,OK,,,,,,,
quyt,Quýt,Mandarin,trai-cay-rau-cu,raw,usda-vn-table,53,0.8,13.3,0.3,True,True,False,,OK,,,,,,,
rau-chan-vit-cai-bo-xoi,Rau chân vịt (cải bó xôi),Spinach,trai-cay-rau-cu,raw,usda-vn-table,23,2.9,3.6,0.4,True,True,False,,OK,,,,,,,
rau-day,Rau đay,Jute leaves,trai-cay-rau-cu,raw,usda-vn-table,43,4.7,6.0,0.5,False,False,False,,OK,,,,,,,
rau-den,Rau dền,Amaranth greens,trai-cay-rau-cu,raw,usda-vn-table,23,2.5,4.0,0.3,False,False,False,,OK,,,,,,,
rau-ngot,Rau ngót,Katuk leaves,trai-cay-rau-cu,raw,usda-vn-table,59,6.5,7.0,1.0,True,True,False,,OK,,,,,,,
rau-ram,Rau răm,Vietnamese coriander,trai-cay-rau-cu,raw,usda-vn-table,30,2.0,5.0,0.5,False,False,False,,OK,,,,,,,
roi-man,Roi (mận),Java apple,trai-cay-rau-cu,raw,usda-vn-table,25,0.6,5.7,0.3,True,True,False,,OK,,,,,,,
sau-rieng,Sầu riêng,Durian,trai-cay-rau-cu,raw,usda-vn-table,147,1.5,27.1,5.3,False,False,False,,OK,,,,,,,
so-diep,Sò điệp,Scallop,thit-hai-san,raw,usda-vn-table,88,16.8,2.4,0.8,False,False,False,,OK,,,,,,,
so-huyet,Sò huyết,Blood cockle,thit-hai-san,raw,vdd-vn,80,14.0,3.0,1.0,True,True,False,,OK,,,,,,,
su-hao,Su hào,Kohlrabi,trai-cay-rau-cu,raw,usda-vn-table,27,1.7,6.2,0.1,True,True,False,,OK,,,,,,,
suon-lon-song,Sườn lợn (sống),Pork spare ribs raw,thit-hai-san,raw,usda-vn-table,277,19.0,0,22.0,True,True,False,,OK,,,,,,,
thanh-long,Thanh long ruột trắng,Dragon fruit white,trai-cay-rau-cu,raw,usda-vn-table,50,1.1,11.0,0.4,True,True,False,,OK,,,,,,,
thit-bo-bap-song,Thịt bò bắp (sống),Beef shank raw,thit-hai-san,raw,usda-vn-table,140,21.0,0,5.0,True,True,False,,OK,,,,,,,
thit-bo-nam-song,Thịt bò nạm (sống),Beef brisket raw,thit-hai-san,raw,usda-vn-table,246,18.0,0,19.0,True,True,False,,OK,,,,,,,
thit-bo-xay-80-nac-song,Thịt bò xay 80% nạc (sống),Ground beef 80% lean,thit-hai-san,raw,usda-vn-table,254,17.0,0,20.0,False,False,False,,OK,,,,,,,
thit-bo-xay-90-nac-song,Thịt bò xay 90% nạc (sống),Ground beef 90% lean,thit-hai-san,raw,usda:174030,176,20.0,0,10.0,True,True,False,,OK,,,,,,,
thit-cuu-nac,Thịt cừu nạc,Lamb lean,thit-hai-san,raw,usda-vn-table,162,25.0,0,6.5,False,False,False,,OK,,,,,,,
thit-de-nac-song,Thịt dê nạc (sống),Goat lean raw,thit-hai-san,raw,usda-vn-table,110,20.5,0,2.3,False,False,False,,OK,,,,,,,
thit-lon-ba-chi-song,Thịt lợn ba chỉ (sống),Pork belly raw,thit-hai-san,raw,usda:167812,518,9.34,0,53.0,True,True,False,,OK,,,,,,,
thit-lon-nac-vai-song,Thịt lợn nạc vai (sống),Pork shoulder lean raw,thit-hai-san,raw,usda:168255,193,18.7,0,12.5,True,True,False,,OK,,,,,,,
thit-lon-xay-song,Thịt lợn xay (sống),Ground pork raw,thit-hai-san,raw,usda-vn-table,263,16.9,0,21.0,True,True,False,,OK,,,,,,,
thit-nac-dam-heo,Thịt nạc dăm heo,Pork loin chop,thit-hai-san,raw,usda-vn-table,198,23.0,0,11.0,True,True,False,,OK,,,,,,,
thit-ngan,Thịt ngan,Muscovy duck,thit-hai-san,raw,usda-vn-table,211,19.0,0,15.0,False,False,False,,OK,,,,,,,
thit-tho,Thịt thỏ,Rabbit meat,thit-hai-san,raw,usda-vn-table,173,33.0,0,3.5,False,False,False,,OK,,,,,,,
thit-vit-co-da,Thịt vịt có da,Duck with skin,thit-hai-san,raw,usda-vn-table,337,19.0,0,28.0,False,False,False,,OK,,,,,,,
tia-to,Tía tô,Perilla leaves,trai-cay-rau-cu,raw,usda-vn-table,37,3.3,6.5,0.7,False,False,False,,OK,,,,,,,
tom-hum,Tôm hùm (sống),Lobster raw,thit-hai-san,raw,usda-vn-table,89,19.0,0.5,0.9,False,False,False,,OK,,,,,,,
tom-su-song,Tôm sú (sống),Tiger prawn raw,thit-hai-san,raw,vdd-vn,99,24.0,0.2,0.3,True,True,False,,OK,,,,,,,
uc-ga-tay-song,Ức gà tây (sống),Turkey breast raw,thit-hai-san,raw,usda-vn-table,104,23.0,0,0.7,False,False,False,,OK,,,,,,,
uc-vit-khong-da-song,Ức vịt không da (sống),Duck breast skinless raw,thit-hai-san,raw,usda-vn-table,140,19.0,0,6.5,False,False,False,,OK,,,,,,,
vai,Vải,Lychee,trai-cay-rau-cu,raw,usda-vn-table,66,0.8,16.5,0.4,True,True,False,,OK,,,,,,,
viet-quat,Việt quất,Blueberry,trai-cay-rau-cu,raw,usda-vn-table,57,0.7,14.5,0.3,False,False,False,,OK,,,,,,,
vu-sua,Vú sữa,Star apple,trai-cay-rau-cu,raw,usda-vn-table,67,0.7,16.0,0.8,False,False,False,,OK,,,,,,,
xa-lach,Xà lách,Lettuce,trai-cay-rau-cu,raw,usda-vn-table,15,1.4,2.9,0.2,True,True,False,,OK,,,,,,,
xoai,Xoài chín,Mango ripe,trai-cay-rau-cu,raw,usda-vn-table,60,0.8,15.0,0.4,True,True,False,,OK,,,,,,,
yen-mach-can-det-song,Yến mạch cán dẹt sống,Rolled oats raw,mon-phu-an-vat,raw,usda:173904,389,16.9,66.0,6.9,True,True,False,,OK,,,,,,,
